frequency,variable,count,experiments
Yearly,upwelling shortwave flux in air,3,"midHolocene, historical, lgm"
Yearly,sea ice area fraction,7,"midHolocene, lgm, esmFdbk1, esmFixClim1, piControl, historical, 1pctCO2, decadal"
Yearly,downwelling shortwave flux in air,4,"lgm, midHolocene, historical, decadal"
Yearly,water evaporation flux from soil,2,"midHolocene, lgm"
Yearly,wind speed,3,"midHolocene, historical, lgm"
Yearly,surface downward sensible heat flux,3,"midHolocene, historical, lgm"
Yearly,heat flux correction,2,"midHolocene, lgm"
Yearly,northward ocean heat transport due to diffusion,3,"midHolocene, lgm, 1pctCO2, rcp85, abrupt4xCO2, historical, rcp45, piControl"
Yearly,isccp cloud area fraction,2,"midHolocene, lgm"
Yearly,transpiration flux,2,"midHolocene, lgm"
Yearly,cloud area fraction,3,"midHolocene, historical, lgm"
Yearly,surface altitude,2,"midHolocene, lgm"
Yearly,air pressure at sea level,3,"piControl, lgm, 1pctCO2, midHolocene, abrupt4xCO2"
Yearly,northward wind,2,"midHolocene, lgm"
Yearly,water sublimation flux,2,"midHolocene, lgm"
Yearly,surface snow thickness,2,"midHolocene, lgm"
Yearly,land area fraction,3,"esmHistorical, midHolocene, amip, historical, lgm"
Yearly,leaf area index,4,"rcp60, midHolocene, lgm, esmFixClim1, rcp26, rcp85, historical, rcp45"
Yearly,mass fraction of convective cloud liquid water in air,2,"midHolocene, lgm"
Yearly,net downward radiative flux at top of atmosphere model,2,"midHolocene, lgm"
Yearly,eastward wind,4,"midHolocene, historical, lgm"
Yearly,toa outgoing shortwave flux,10,"sstClim, midHolocene, lgm, sstClimAerosol, 1pctCO2, historicalNat, abrupt4xCO2, historical, historicalGHG, piControl, decadal"
Yearly,surface partial pressure of carbon dioxide in sea water,3,"rcp60, midHolocene, lgm, rcp26, rcp85, historical, rcp45, piControl"
Yearly,convective rainfall flux,2,"midHolocene, lgm"
Yearly,water flux correction,2,"midHolocene, lgm"
Yearly,soil moisture content at field capacity,2,"midHolocene, lgm"
Yearly,mass fraction of cloud ice in air,2,"midHolocene, lgm"
Yearly,sea ice y velocity,2,"midHolocene, lgm"
Yearly,litter carbon content,5,"rcp60, midHolocene, lgm, esmFixClim1, rcp26, rcp85, historical, esmHistorical, rcp45, 1pctCO2, esmControl"
Yearly,atmosphere cloud ice content,2,"midHolocene, lgm"
Yearly,northward ocean heat transport due to bolus advection,3,"midHolocene, lgm, 1pctCO2, rcp85, abrupt4xCO2, historical, rcp45, piControl"
Yearly,surface air pressure,7,"midHolocene, past1000, lgm, rcp85, historical, historicalGHG, decadal"
Yearly,northward ocean heat transport due to overturning,3,"midHolocene, lgm, 1pctCO2, rcp85, abrupt4xCO2, historical, rcp45, piControl"
Yearly,surface albedo,3,"esmHistorical, midHolocene, amip, historical, lgm"
Yearly,surface downward latent heat flux,4,"lgm, midHolocene, historical, rcp85"
Yearly,toa outgoing shortwave flux assuming clear sky,5,"midHolocene, lgm, 1pctCO2, abrupt4xCO2, historical, piControl, decadal"
Yearly,tendency of specific humidity due to model physics,2,"midHolocene, lgm"
Yearly,downwelling longwave flux in air,3,"lgm, midHolocene, historical, decadal"
Yearly,area fraction,3,"midHolocene, piControl, historical, lgm"
Yearly,land ice area fraction,2,"midHolocene, lgm"
Yearly,liquid water content of snow layer,2,"midHolocene, lgm"
Yearly,atmosphere cloud condensed water content,2,"midHolocene, lgm"
Yearly,sea ice transport across line,2,"midHolocene, lgm"
Yearly,net primary productivity of carbon,8,"piControl, rcp60, midHolocene, esmFdbk1, lgm, esmFixClim1, rcp26, rcp85, historical, rcp45, 1pctCO2"
