frequency,variable,count,experiments
Monthly,cloud area fraction,28,"sstClimAerosol, rcp60, sstClim4xCO2, rcp26, sstClimSulfate, amip4xCO2, rcp45, 1pctCO2, aqua4xCO2, rcp85, abrupt4xCO2, historicalExt, historicalGHG, amip4K, historicalNat, amipFuture, piControl, sstClim, aqua4K, historicalMisc, aquaControl, historical, amip"
Monthly,surface altitude,5,"rcp45, rcp60, rcp26, historical, rcp85"
Monthly,specific humidity,38,"1pctCO2, piControl, rcp60, aqua4xCO2, lgm, aqua4K, rcp26, amipFuture, rcp85, amip4K, aquaControl, historicalNat, abrupt4xCO2, historical, historicalGHG, amip4xCO2, rcp45, amip"
Monthly,upwelling shortwave flux in air,1,historical
Monthly,surface snow thickness,3,"rcp45, rcp60, rcp26, historical, rcp85"
Monthly,land area fraction,15,"1pctCO2, sstClim, rcp60, midHolocene, lgm, amip, rcp26, sstClim4xCO2, amipFuture, rcp85, amip4K, historicalNat, abrupt4xCO2, historical, historicalExt, historicalGHG, amip4xCO2, rcp45, piControl"
Monthly,leaf area index,3,"esmFixClim1, 1pctCO2, historical, esmFdbk1"
Monthly,net downward radiative flux at top of atmosphere model,12,"amip, piControl, rcp60, aqua4xCO2, aqua4K, rcp26, amipFuture, rcp85, amip4K, aquaControl, abrupt4xCO2, historical, amip4xCO2, rcp45, 1pctCO2"
Monthly,eastward wind,85,"1pctCO2, sstClim, rcp60, aqua4xCO2, midHolocene, lgm, aqua4K, rcp26, sstClim4xCO2, amipFuture, piControl, amip4K, aquaControl, rcp85, historical, historicalGHG, amip4xCO2, rcp45, amip, esmControl, abrupt4xCO2"
Monthly,toa outgoing shortwave flux,36,"sstClimAerosol, rcp60, sstClim4xCO2, rcp26, sstClimSulfate, amip4xCO2, rcp45, 1pctCO2, aqua4xCO2, rcp85, abrupt4xCO2, historicalExt, historicalGHG, decadal, midHolocene, lgm, amip4K, historicalNat, amipFuture, piControl, sstClim, aqua4K, historicalMisc, aquaControl, historical, amip"
Monthly,surface partial pressure of carbon dioxide in sea water,2,"rcp60, rcp26, piControl, rcp85, historical, esmHistorical, rcp45, esmrcp85"
Monthly,convective rainfall flux,3,"rcp45, piControl, historical, rcp85"
Monthly,soil moisture content at field capacity,1,"rcp45, historical, rcp85"
Monthly,mass fraction of cloud ice in air,1,"amip4K, amip4xCO2, 1pctCO2, amipFuture, amip"
Monthly,sea ice y velocity,2,"rcp26, rcp45, piControl, historical, rcp85"
Monthly,surface downward y stress,6,"piControl, rcp45, 1pctCO2, historical, rcp85"
Monthly,atmosphere cloud ice content,9,"piControl, rcp60, rcp26, amipFuture, amip, amip4K, rcp85, historicalMisc, historicalNat, abrupt4xCO2, historical, historicalExt, historicalGHG, amip4xCO2, rcp45, 1pctCO2"
Monthly,northward ocean heat transport due to bolus advection,1,"1pctCO2, rcp85, abrupt4xCO2, historical, rcp45, piControl"
Monthly,surface air pressure,35,"sstClimAerosol, rcp60, sstClim4xCO2, rcp26, amip4xCO2, rcp45, 1pctCO2, aqua4xCO2, past1000, rcp85, abrupt4xCO2, historicalExt, historicalGHG, decadal, midHolocene, lgm, amip4K, historicalNat, piControl, sstClim, aqua4K, historicalMisc, aquaControl, historical, amip"
Monthly,northward ocean heat transport due to overturning,2,"piControl, amip, rcp85, abrupt4xCO2, historical, rcp45, 1pctCO2"
Monthly,surface albedo,6,"piControl, rcp45, midHolocene, amipFuture, amip, amip4K, historical, amip4xCO2, rcp85, 1pctCO2"
Monthly,surface downward latent heat flux,17,"amip, rcp26, piControl, rcp85, historical, rcp45, 1pctCO2, abrupt4xCO2"
Monthly,toa outgoing shortwave flux assuming clear sky,25,"sstClimAerosol, rcp60, sstClim4xCO2, rcp26, sstClimSulfate, amip4xCO2, rcp45, 1pctCO2, aqua4xCO2, rcp85, abrupt4xCO2, decadal, midHolocene, lgm, amip4K, amipFuture, piControl, sstClim, aqua4K, aquaControl, historical, amip"
Monthly,downwelling longwave flux in air,8,"1pctCO2, rcp45, rcp60, abrupt4xCO2, amipFuture, piControl, amip4K, rcp26, historical, amip4xCO2, rcp85, amip, decadal"
Monthly,area fraction,6,"rcp45, rcp60, esmFdbk1, esmFixClim1, rcp26, 1pctCO2, rcp85, esmrcp85, abrupt4xCO2, historical, esmHistorical, amip, piControl, esmControl"
Monthly,atmosphere cloud condensed water content,9,"piControl, rcp60, rcp26, amipFuture, amip, amip4K, rcp85, historicalMisc, historicalNat, abrupt4xCO2, historical, historicalExt, historicalGHG, amip4xCO2, rcp45, 1pctCO2"
Monthly,sea ice transport across line,2,"rcp26, rcp45, piControl, historical, rcp85"
Monthly,net primary productivity of carbon,5,"1pctCO2, rcp60, rcp26, amip, rcp85, abrupt4xCO2, historical, rcp45, piControl"
Monthly,soil carbon content,7,"amip, rcp45, rcp60, rcp26, piControl, abrupt4xCO2, historical, rcp85, 1pctCO2"
Monthly,surface upwelling longwave flux in air,21,"amip, decadal, rcp45, rcp60, midHolocene, lgm, rcp26, esmrcp85, amip4K, historicalMisc, amipFuture, historical, 1pctCO2, esmHistorical, historicalGHG, amip4xCO2, rcp85, piControl, abrupt4xCO2"
Monthly,sea ice thickness,16,"1pctCO2, rcp60, amip, rcp26, rcp85, historicalMisc, historicalNat, abrupt4xCO2, historical, historicalExt, historicalGHG, rcp45, piControl"
Monthly,surface downward heat flux in sea water,5,"piControl, rcp60, rcp26, 1pctCO2, rcp85, historicalMisc, historicalNat, abrupt4xCO2, historical, historicalExt, historicalGHG, rcp45, amip"
Monthly,surface upward sensible heat flux,25,"1pctCO2, amip, rcp26, rcp85, amip4K, historicalMisc, abrupt4xCO2, historical, historicalGHG, amip4xCO2, rcp45, piControl, decadal"
Monthly,heterotrophic respiration carbon flux,1,"historical, rcp85"
Monthly,soil moisture content,11,"1pctCO2, rcp60, esmFdbk1, esmFixClim1, rcp26, rcp85, historical, rcp45, piControl"
Monthly,water evaporation flux from canopy,4,"esmFdbk1, esmFixClim1, rcp26, rcp85, historical, rcp45, 1pctCO2"
Monthly,relative humidity,21,"piControl, rcp60, aqua4xCO2, rcp26, sstClim4xCO2, sstClim, amipFuture, amip, amip4K, aquaControl, rcp85, historical, historicalGHG, amip4xCO2, rcp45, 1pctCO2, abrupt4xCO2"
Monthly,stratiform cloud area fraction in atmosphere layer,1,"amip, historical, piControl"
Monthly,surface downward sensible heat flux,14,"amip, rcp26, piControl, rcp85, historical, rcp45, 1pctCO2, abrupt4xCO2"
Monthly,precipitation flux,178,"rcp60, sstClim4xCO2, amipFuture, esmrcp85, amip4xCO2, rcp45, 1pctCO2, aqua4xCO2, past1000, rcp85, abrupt4xCO2, historicalExt, historicalGHG, decadal, midHolocene, lgm, amip4K, esmHistorical, historicalNat, rcp26, piControl, esmControl, sstClim, esmFdbk1, aqua4K, esmFixClim1, historicalMisc, aquaControl, historical, amip"
Monthly,tendency of air temperature due to radiative heating,2,"aqua4xCO2, amip, aquaControl, abrupt4xCO2, amip4xCO2, piControl"
Monthly,rainfall flux,19,"amip, piControl, rcp60, aqua4xCO2, past1000, esmFdbk1, esmFixClim1, rcp26, rcp85, aquaControl, abrupt4xCO2, historical, historicalGHG, amip4xCO2, rcp45, 1pctCO2"
Monthly,surface runoff flux,7,"piControl, rcp45, rcp60, esmFdbk1, past1000, esmFixClim1, rcp26, rcp85, historicalMisc, historicalNat, abrupt4xCO2, historical, historicalExt, historicalGHG, amip, 1pctCO2"
Monthly,soil temperature,5,"rcp60, esmFdbk1, esmFixClim1, rcp26, rcp85, historical, rcp45, 1pctCO2"
Monthly,surface temperature,127,"sstClimAerosol, rcp60, sstClim4xCO2, amipFuture, sstClimSulfate, amip4xCO2, rcp45, esmrcp85, aqua4xCO2, past1000, rcp85, abrupt4xCO2, esmHistorical, historicalGHG, decadal, 1pctCO2, midHolocene, lgm, amip4K, historicalExt, historicalNat, rcp26, piControl, esmControl, sstClim, esmFdbk1, aqua4K, esmFixClim1, historicalMisc, aquaControl, historical, amip"
Monthly,surface snow amount,7,"amip, piControl, rcp60, esmFdbk1, esmFixClim1, rcp26, rcp85, historical, rcp45, 1pctCO2"
Monthly,air temperature,142,"rcp60, sstClim4xCO2, rcp26, amip4xCO2, rcp45, 1pctCO2, aqua4xCO2, past1000, rcp85, abrupt4xCO2, historicalExt, historicalGHG, decadal, midHolocene, lgm, amip4K, historicalNat, amipFuture, piControl, sstClim, aqua4K, historicalMisc, aquaControl, historical, amip"
Monthly,tendency of specific humidity due to convection,1,"piControl, 1pctCO2, amip4K, abrupt4xCO2, amip4xCO2, amip"
Monthly,atmosphere water vapor content,15,"piControl, rcp60, rcp26, amipFuture, amip, amip4K, rcp85, historicalMisc, historicalNat, abrupt4xCO2, historical, historicalExt, historicalGHG, amip4xCO2, rcp45, 1pctCO2"
Monthly,time,6,"sstClim, piControl, rcp45, rcp60, esmFdbk1, sstClim4xCO2, esmFixClim1, rcp26, rcp85, abrupt4xCO2, historical, amip, 1pctCO2"
Monthly,tendency of air temperature,7,"piControl, rcp60, midHolocene, lgm, rcp26, 1pctCO2, rcp85, historicalMisc, historicalNat, abrupt4xCO2, historical, historicalExt, historicalGHG, rcp45, amip, decadal"
Daily,toa outgoing longwave flux assuming clear sky,6,"amip, piControl, rcp60, aqua4xCO2, rcp26, rcp85, aquaControl, historicalMisc, historicalNat, abrupt4xCO2, historical, historicalExt, historicalGHG, amip4xCO2, rcp45, 1pctCO2"
Daily,cloud area fraction,10,"amip, rcp60, aqua4xCO2, rcp26, piControl, aquaControl, historicalMisc, historicalNat, rcp85, historical, historicalExt, historicalGHG, amip4xCO2, rcp45, 1pctCO2, abrupt4xCO2"
Daily,sea water salinity,1,"amip, historical, piControl"
Daily,downward sea ice basal salt flux,1,"amip, historical, piControl"
Daily,ocean mixed layer thickness defined by sigma t,1,"historical, decadal"
Daily,surface upwelling shortwave flux in air assuming clear sky,3,"rcp45, rcp60, rcp26, piControl, rcp85, abrupt4xCO2, historical, amip, 1pctCO2"
Daily,air pressure,14,"piControl, rcp60, rcp26, amip, rcp85, historicalMisc, historicalNat, abrupt4xCO2, historical, historicalExt, historicalGHG, rcp45, 1pctCO2"
Daily,area fraction,1,"1pctCO2, rcp60, rcp26, amip, rcp85, abrupt4xCO2, historical, rcp45, piControl"
Daily,geopotential height,34,"1pctCO2, rcp60, rcp26, amipFuture, amip, historicalMisc, rcp85, historical, historicalGHG, rcp45, piControl, abrupt4xCO2"
Daily,net primary productivity of carbon,1,"1pctCO2, rcp60, rcp26, amip, rcp85, abrupt4xCO2, historical, rcp45, piControl"
Daily,land ice area fraction,2,"1pctCO2, rcp45, rcp60, rcp26, amip, abrupt4xCO2, historical, rcp85, piControl"
Daily,atmosphere convective mass flux,1,"historical, rcp85"
Daily,sea ice y velocity,1,"rcp26, rcp45, piControl, historical, rcp85"
Daily,tendency of air temperature due to advection,1,amip
Daily,surface snow amount,2,"rcp85, rcp45, amip, historical, piControl"
Daily,sea ice x velocity,1,"rcp26, rcp45, piControl, historical, rcp85"
Daily,specific humidity,28,"1pctCO2, rcp60, rcp26, amip, rcp85, historical, historicalGHG, rcp45, piControl, abrupt4xCO2"
Daily,atmosphere cloud condensed water content,4,"piControl, rcp60, rcp26, 1pctCO2, rcp85, historicalMisc, historicalNat, abrupt4xCO2, historical, historicalExt, historicalGHG, rcp45, amip"
Daily,soil carbon content,1,"1pctCO2, rcp60, rcp26, amip, rcp85, abrupt4xCO2, historical, rcp45, piControl"
Daily,sea ice transport across line,1,"rcp26, rcp45, piControl, historical, rcp85"
Daily,sea surface salinity,3,"piControl, rcp60, rcp26, 1pctCO2, rcp85, historicalMisc, historicalNat, abrupt4xCO2, historical, historicalExt, historicalGHG, rcp45, amip"
Daily,sea ice thickness,5,"amip, rcp60, rcp26, piControl, historicalMisc, historicalNat, rcp85, historical, historicalExt, historicalGHG, rcp45, 1pctCO2, abrupt4xCO2"
Daily,surface albedo,5,"rcp60, rcp26, piControl, rcp85, historical, rcp45, amip"
Daily,surface upward latent heat flux,2,"rcp45, historical, rcp85"
Daily,mass fraction of water in air,1,"rcp45, historical, rcp85"
Daily,land area fraction,5,"amip, piControl, rcp60, rcp26, rcp85, abrupt4xCO2, historical, rcp45, 1pctCO2"
Daily,sea water potential temperature,2,"piControl, amip, historical, decadal"
Daily,runoff flux,5,"piControl, rcp60, rcp26, 1pctCO2, rcp85, historicalMisc, historicalNat, abrupt4xCO2, historical, historicalExt, historicalGHG, rcp45, amip"
Daily,convective cloud area fraction,1,"amip, historical, piControl"
Daily,sea area fraction,1,"1pctCO2, rcp60, rcp26, amip, rcp85, abrupt4xCO2, historical, rcp45, piControl"
Daily,downwelling longwave flux in air,2,"rcp45, rcp60, rcp26, rcp85"
Daily,surface upwelling longwave flux in air,5,"rcp45, rcp60, rcp26, piControl, rcp85, abrupt4xCO2, historical, amip, 1pctCO2"
Daily,air pressure at sea level,21,"rcp60, rcp26, amip, rcp85, historical, rcp45, piControl"
Daily,tendency of specific humidity,1,historical
Daily,surface downward heat flux in sea water,2,"piControl, rcp60, rcp26, 1pctCO2, rcp85, historicalMisc, historicalNat, abrupt4xCO2, historical, historicalExt, historicalGHG, rcp45, amip"
Daily,net downward radiative flux at top of atmosphere model,5,"1pctCO2, piControl, rcp60, aqua4xCO2, rcp26, rcp85, aquaControl, abrupt4xCO2, historical, amip4xCO2, rcp45, amip"
Daily,surface downwelling longwave flux in air assuming clear sky,7,"amip, rcp60, rcp26, piControl, historicalMisc, historicalNat, rcp85, historical, historicalExt, historicalGHG, rcp45, 1pctCO2, abrupt4xCO2"
Daily,stratiform cloud area fraction in atmosphere layer,1,"amip, historical, piControl"
Daily,surface upward sensible heat flux,2,"rcp45, historical, rcp85"
Daily,eastward wind,43,"rcp60, rcp26, piControl, rcp85, historical, historicalGHG, rcp45, amip"
Daily,surface downwelling shortwave flux in air,12,"amip, rcp60, rcp26, piControl, rcp85, historical, rcp45, 1pctCO2, abrupt4xCO2"
Daily,surface net downward longwave flux,5,"amip, piControl, rcp60, rcp26, rcp85, abrupt4xCO2, historical, rcp45, 1pctCO2"
Daily,surface partial pressure of carbon dioxide in sea water,2,"rcp45, rcp60, rcp26, rcp85"
Daily,convective rainfall flux,2,"rcp45, historical, rcp85"
Daily,moisture content of soil layer,6,"rcp45, rcp26, historical, rcp85"
Daily,surface upwelling shortwave flux in air,5,"rcp45, rcp60, rcp26, piControl, rcp85, abrupt4xCO2, historical, amip, 1pctCO2"
Daily,convective precipitation flux,3,"rcp45, rcp60, rcp26, historical, rcp85"
Daily,snowfall flux,6,"rcp45, rcp60, rcp26, historical, rcp85"
Daily,sea water potential density,1,"amip, historical, piControl"
Daily,water evaporation flux from canopy,1,"rcp45, historical, rcp85"
Daily,toa incoming shortwave flux,7,"amip, piControl, rcp60, aqua4xCO2, rcp26, rcp85, aquaControl, historicalMisc, historicalNat, abrupt4xCO2, historical, historicalExt, historicalGHG, amip4xCO2, rcp45, 1pctCO2"
Daily,relative humidity,12,"rcp60, aqua4xCO2, rcp26, piControl, aquaControl, rcp85, historical, historicalGHG, amip4xCO2, rcp45, amip, abrupt4xCO2"
Daily,cloud area fraction in atmosphere layer,3,"1pctCO2, piControl, rcp60, aqua4xCO2, rcp26, rcp85, aquaControl, abrupt4xCO2, historical, amip4xCO2, rcp45, amip"
Daily,surface downwelling shortwave flux in air assuming clear sky,4,"amip, rcp60, rcp26, piControl, rcp85, historical, rcp45, 1pctCO2, abrupt4xCO2"
Daily,water evaporation flux from soil,1,"rcp45, historical, rcp85"
Daily,sea surface temperature,21,"1pctCO2, rcp60, aqua4xCO2, abrupt4xCO2, rcp26, piControl, aquaControl, historicalMisc, historicalNat, rcp85, historical, historicalExt, historicalGHG, amip4xCO2, rcp45, amip, decadal"
Daily,isccp cloud area fraction,4,"amip, historical, piControl"
Daily,precipitation flux,63,"1pctCO2, rcp60, aqua4xCO2, abrupt4xCO2, rcp26, piControl, aquaControl, historicalMisc, historicalNat, rcp85, historical, historicalExt, historicalGHG, amip4xCO2, rcp45, amip, decadal"
Daily,northward wind,37,"rcp60, rcp26, piControl, rcp85, historical, historicalGHG, rcp45, amip"
Daily,sea ice area fraction,10,"1pctCO2, rcp60, amip, rcp26, rcp85, historicalMisc, historicalNat, abrupt4xCO2, historical, historicalExt, historicalGHG, rcp45, piControl, decadal"
Daily,tendency of air temperature due to radiative heating,2,"aqua4xCO2, amip, aquaControl, abrupt4xCO2, amip4xCO2, piControl"
Daily,atmosphere cloud ice content,4,"piControl, rcp60, rcp26, 1pctCO2, rcp85, historicalMisc, historicalNat, abrupt4xCO2, historical, historicalExt, historicalGHG, rcp45, amip"
Daily,downwelling shortwave flux in air,1,amip
Daily,rainfall flux,16,"rcp45, rcp60, aqua4xCO2, rcp26, piControl, aquaControl, abrupt4xCO2, historical, amip4xCO2, rcp85, amip"
Daily,surface downwelling longwave flux in air,14,"amip, rcp60, rcp26, piControl, historicalMisc, historicalNat, rcp85, historical, historicalExt, historicalGHG, rcp45, 1pctCO2, abrupt4xCO2"
Daily,surface runoff flux,2,"piControl, rcp60, rcp26, 1pctCO2, rcp85, historicalMisc, historicalNat, abrupt4xCO2, historical, historicalExt, historicalGHG, rcp45, amip"
Daily,toa outgoing shortwave flux,8,"amip, piControl, rcp60, aqua4xCO2, rcp26, rcp85, aquaControl, historicalMisc, historicalNat, abrupt4xCO2, historical, historicalExt, historicalGHG, amip4xCO2, rcp45, 1pctCO2"
Daily,wind speed,14,"rcp60, rcp26, rcp85, historical, historicalGHG, rcp45, amip"
Daily,surface air pressure,18,"1pctCO2, rcp60, abrupt4xCO2, rcp26, amip, historicalMisc, historicalNat, rcp85, historical, historicalExt, historicalGHG, rcp45, piControl, decadal"
Daily,surface altitude,4,"rcp45, rcp60, rcp26, historical, rcp85"
Daily,surface temperature,31,"1pctCO2, piControl, rcp60, rcp26, rcp85, abrupt4xCO2, historical, historicalGHG, rcp45, amip, decadal"
Daily,water evaporation flux,6,"piControl, rcp60, aqua4xCO2, aquaControl, rcp26, 1pctCO2, rcp85, historicalMisc, historicalNat, abrupt4xCO2, historical, historicalExt, historicalGHG, amip4xCO2, rcp45, amip"
Daily,northward ocean heat transport due to overturning,1,"amip, historical, piControl"
Daily,air temperature,63,"1pctCO2, rcp60, aqua4xCO2, rcp26, amipFuture, amip, aquaControl, historicalMisc, historicalNat, rcp85, historical, historicalExt, historicalGHG, amip4xCO2, rcp45, piControl, abrupt4xCO2"
Daily,soil moisture content,4,"rcp45, piControl, historical, rcp85"
Daily,toa outgoing longwave flux,12,"amip, piControl, rcp60, aqua4xCO2, rcp26, rcp85, aquaControl, historicalMisc, historicalNat, abrupt4xCO2, historical, historicalExt, historicalGHG, amip4xCO2, rcp45, 1pctCO2"
Daily,northward ocean heat transport,1,"amip, historical, piControl"
Daily,atmosphere water vapor content,12,"piControl, rcp45, rcp60, rcp26, 1pctCO2, historicalMisc, historicalNat, abrupt4xCO2, historical, historicalExt, historicalGHG, rcp85, amip"
Daily,time,5,"1pctCO2, rcp45, rcp60, rcp26, amip, abrupt4xCO2, historical, rcp85, piControl"
Daily,toa outgoing shortwave flux assuming clear sky,5,"1pctCO2, piControl, rcp60, aqua4xCO2, rcp26, rcp85, aquaControl, abrupt4xCO2, historical, amip4xCO2, rcp45, amip"
Daily,surface snow area fraction,2,"rcp45, historical, rcp85"
Daily,tendency of air temperature,3,"rcp60, rcp26, 1pctCO2, rcp85, historicalMisc, historicalNat, abrupt4xCO2, historical, historicalExt, historicalGHG, rcp45, amip"
Daily,transpiration flux,1,"rcp45, historical, rcp85"
Daily,sea water x velocity,1,"historical, decadal"
6-hourly,toa outgoing longwave flux assuming clear sky,3,"piControl, rcp60, rcp26, amipFuture, amip, amip4K, rcp85, historicalMisc, historicalNat, abrupt4xCO2, historical, historicalExt, historicalGHG, amip4xCO2, rcp45, 1pctCO2"
6-hourly,downwelling longwave flux in air,1,"amip4K, amip4xCO2, 1pctCO2, amipFuture, amip"
6-hourly,toa outgoing longwave flux,4,"piControl, rcp60, rcp26, amipFuture, amip, amip4K, rcp85, historicalMisc, historicalNat, abrupt4xCO2, historical, historicalExt, historicalGHG, amip4xCO2, rcp45, 1pctCO2"
6-hourly,downward sea ice basal salt flux,1,"amip, historical, piControl"
6-hourly,surface upwelling shortwave flux in air assuming clear sky,1,"amip4K, amip4xCO2, 1pctCO2, amipFuture, amip"
6-hourly,air pressure,13,"amip, piControl, rcp60, rcp26, rcp85, historicalMisc, historicalNat, amipFuture, historical, historicalExt, historicalGHG, rcp45, 1pctCO2, abrupt4xCO2"
6-hourly,geopotential height,9,"amipFuture, amip, rcp85, historical, historicalGHG, rcp45, piControl"
6-hourly,surface altitude,2,"rcp45, historical, rcp85"
6-hourly,cloud area fraction,2,"piControl, rcp60, rcp26, 1pctCO2, rcp85, historicalMisc, historicalNat, abrupt4xCO2, historical, historicalExt, historicalGHG, rcp45, amip"
6-hourly,air pressure at sea level,22,"rcp60, rcp26, amipFuture, amip, rcp85, historical, rcp45, piControl, decadal"
6-hourly,atmosphere cloud condensed water content,4,"piControl, rcp60, rcp26, amipFuture, amip, amip4K, rcp85, historicalMisc, historicalNat, abrupt4xCO2, historical, historicalExt, historicalGHG, amip4xCO2, rcp45, 1pctCO2"
6-hourly,sea ice thickness,3,"piControl, rcp60, rcp26, 1pctCO2, rcp85, historicalMisc, historicalNat, abrupt4xCO2, historical, historicalExt, historicalGHG, rcp45, amip"
6-hourly,sea water salinity,1,"amip, historical, piControl"
6-hourly,land area fraction,2,"amipFuture, 1pctCO2, amip4K, rcp85, historical, amip4xCO2, rcp45, amip"
6-hourly,sea water potential temperature,1,"amip, historical, piControl"
6-hourly,runoff flux,2,"piControl, rcp60, rcp26, 1pctCO2, rcp85, historicalMisc, historicalNat, abrupt4xCO2, historical, historicalExt, historicalGHG, rcp45, amip"
6-hourly,convective cloud area fraction,1,"amip, historical, piControl"
6-hourly,surface upwelling longwave flux in air,1,"amip4K, amip4xCO2, 1pctCO2, amipFuture, amip"
6-hourly,specific humidity,10,"piControl, amipFuture, 1pctCO2, amip4K, rcp85, historical, historicalGHG, amip4xCO2, rcp45, amip"
6-hourly,tendency of specific humidity,1,historical
6-hourly,surface downward heat flux in sea water,2,"piControl, rcp60, rcp26, 1pctCO2, rcp85, historicalMisc, historicalNat, abrupt4xCO2, historical, historicalExt, historicalGHG, rcp45, amip"
6-hourly,net downward radiative flux at top of atmosphere model,4,"piControl, amipFuture, amip, amip4K, historical, amip4xCO2, 1pctCO2"
6-hourly,eastward wind,30,"piControl, rcp60, rcp26, rcp85, amipFuture, historical, historicalGHG, rcp45, amip"
6-hourly,surface downwelling longwave flux in air assuming clear sky,2,"rcp60, rcp26, amipFuture, amip, amip4K, rcp85, historicalMisc, historicalNat, abrupt4xCO2, historical, historicalExt, historicalGHG, amip4xCO2, rcp45, 1pctCO2"
6-hourly,surface downwelling shortwave flux in air,1,"amip4K, amip4xCO2, 1pctCO2, amipFuture, amip"
6-hourly,water evaporation flux,4,"piControl, rcp60, rcp26, 1pctCO2, rcp85, historicalMisc, historicalNat, abrupt4xCO2, historical, historicalExt, historicalGHG, rcp45, amip"
6-hourly,mass fraction of cloud liquid water in air,1,"amip4K, amip4xCO2, 1pctCO2, amipFuture, amip"
6-hourly,surface upwelling shortwave flux in air,1,"amip4K, amip4xCO2, 1pctCO2, amipFuture, amip"
6-hourly,convective precipitation flux,1,"rcp45, historical, rcp85"
6-hourly,atmosphere water vapor content,9,"piControl, rcp60, rcp26, amipFuture, 1pctCO2, amip4K, rcp85, historicalMisc, historicalNat, abrupt4xCO2, historical, historicalExt, historicalGHG, amip4xCO2, rcp45, amip"
6-hourly,sea water potential density,1,"amip, historical, piControl"
6-hourly,toa incoming shortwave flux,3,"piControl, rcp60, rcp26, 1pctCO2, rcp85, historicalMisc, historicalNat, abrupt4xCO2, historical, historicalExt, historicalGHG, rcp45, amip"
6-hourly,relative humidity,5,"piControl, amipFuture, amip, amip4K, rcp85, historical, historicalGHG, amip4xCO2, rcp45, 1pctCO2"
6-hourly,cloud area fraction in atmosphere layer,1,"amip4K, amip4xCO2, 1pctCO2, amipFuture, amip"
6-hourly,surface downwelling shortwave flux in air assuming clear sky,1,"amip4K, amip4xCO2, 1pctCO2, amipFuture, amip"
6-hourly,sea surface temperature,10,"amip, piControl, rcp60, rcp26, rcp85, historicalMisc, historicalNat, abrupt4xCO2, historical, historicalExt, historicalGHG, rcp45, 1pctCO2"
6-hourly,sea surface salinity,2,"piControl, rcp60, rcp26, 1pctCO2, rcp85, historicalMisc, historicalNat, abrupt4xCO2, historical, historicalExt, historicalGHG, rcp45, amip"
6-hourly,precipitation flux,12,"amip, piControl, rcp60, rcp26, amipFuture, rcp85, historicalMisc, historicalNat, abrupt4xCO2, historical, historicalExt, historicalGHG, rcp45, 1pctCO2"
6-hourly,northward wind,29,"piControl, rcp60, rcp26, rcp85, amipFuture, historical, historicalGHG, rcp45, amip"
6-hourly,sea ice area fraction,7,"amip, piControl, rcp60, rcp26, rcp85, historicalMisc, historicalNat, abrupt4xCO2, historical, historicalExt, historicalGHG, rcp45, 1pctCO2"
6-hourly,stratiform cloud area fraction in atmosphere layer,1,"amip, historical, piControl"
6-hourly,atmosphere cloud ice content,4,"piControl, rcp60, rcp26, amipFuture, amip, amip4K, rcp85, historicalMisc, historicalNat, abrupt4xCO2, historical, historicalExt, historicalGHG, amip4xCO2, rcp45, 1pctCO2"
6-hourly,downwelling shortwave flux in air,2,"amip4K, amip4xCO2, 1pctCO2, amipFuture, amip"
6-hourly,surface downwelling longwave flux in air,2,"rcp60, rcp26, amipFuture, amip, amip4K, rcp85, historicalMisc, historicalNat, abrupt4xCO2, historical, historicalExt, historicalGHG, amip4xCO2, rcp45, 1pctCO2"
6-hourly,surface runoff flux,2,"piControl, rcp60, rcp26, 1pctCO2, rcp85, historicalMisc, historicalNat, abrupt4xCO2, historical, historicalExt, historicalGHG, rcp45, amip"
6-hourly,toa outgoing shortwave flux,3,"piControl, rcp60, rcp26, amipFuture, amip, amip4K, rcp85, historicalMisc, historicalNat, abrupt4xCO2, historical, historicalExt, historicalGHG, amip4xCO2, rcp45, 1pctCO2"
6-hourly,wind speed,9,"historicalGHG, rcp45, historical, amipFuture, rcp85"
6-hourly,surface air pressure,7,"amip, piControl, rcp60, rcp26, rcp85, historicalMisc, historicalNat, abrupt4xCO2, historical, historicalExt, historicalGHG, rcp45, 1pctCO2"
6-hourly,northward ocean heat transport due to overturning,1,"amip, historical, piControl"
6-hourly,surface temperature,7,"piControl, rcp60, rcp26, amipFuture, amip, amip4K, rcp85, historical, historicalGHG, amip4xCO2, rcp45, 1pctCO2"
6-hourly,surface snow amount,1,"amip, historical, piControl"
6-hourly,air temperature,24,"1pctCO2, piControl, rcp60, rcp26, rcp85, amip4K, historicalMisc, historicalNat, amipFuture, historical, historicalExt, historicalGHG, amip4xCO2, rcp45, amip, abrupt4xCO2"
6-hourly,soil moisture content,2,"rcp45, rcp60, rcp26, historical, rcp85"
6-hourly,surface albedo,2,"piControl, amipFuture, amip, amip4K, historical, amip4xCO2, 1pctCO2"
6-hourly,northward ocean heat transport,1,"amip, historical, piControl"
6-hourly,convective rainfall flux,1,"rcp45, historical, rcp85"
6-hourly,snowfall flux,1,"rcp45, historical, rcp85"
6-hourly,toa outgoing shortwave flux assuming clear sky,2,"piControl, amipFuture, amip, amip4K, historical, amip4xCO2, 1pctCO2"
6-hourly,isccp cloud area fraction,2,"amip, historical, piControl"
6-hourly,tendency of air temperature,2,"rcp60, rcp26, 1pctCO2, rcp85, historicalMisc, historicalNat, abrupt4xCO2, historical, historicalExt, historicalGHG, rcp45, amip"
6-hourly,surface net downward longwave flux,1,historical
